Issuer Name,Issuer Homepage,MSRB Issuer Identifier,Issuer Type,Date Retrieved,State Abbreviation,State FIPS
NOME ALASKA JT UTIL SYS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=45FCA5124C578961D42DF82FF646F308&type=G,45FCA5124C578961D42DF82FF646F308,City,03/28/2024,AK,02
NOME ALASKA UTIL REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=3B0860CD417741253AA41568148B21C6&type=G,3B0860CD417741253AA41568148B21C6,City,03/28/2024,AK,02
NOME ALASKA WTR & SWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=5896E4AF85A8CF269496BB834B43A016&type=G,5896E4AF85A8CF269496BB834B43A016,City,03/28/2024,AK,02
NORTH SLOPE BORO ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=1692EA892AB31BF2D2A69C2E837CCC3A&type=G,1692EA892AB31BF2D2A69C2E837CCC3A,City,03/28/2024,AK,02
NORTH SLOPE BORO ALASKA EXEMPT FAC INDL REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=EA226240C711FCAB60A13089C81D47A3&type=G,EA226240C711FCAB60A13089C81D47A3,City,03/28/2024,AK,02
NORTH SLOPE BORO ALASKA SVC AREA 10 WTR & WASTEWTR FACS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=C73928767A3BD99C3FBACF73327595ED&type=G,C73928767A3BD99C3FBACF73327595ED,City,03/28/2024,AK,02
NORTHERN TOB SECURITIZATION CORP ALASKA TOB SETTLEMENT REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=E7AE013049299163F243340AB9573C5E&type=G,E7AE013049299163F243340AB9573C5E,City,03/28/2024,AK,02
PALMER ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=A2DFE6CD6BF8F18A91D743AE0FB88F7A&type=G,A2DFE6CD6BF8F18A91D743AE0FB88F7A,City,03/28/2024,AK,02
PALMER ALASKA CT HSE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=B29F5FFC00D6C585A2938AF399F89DD3&type=G,B29F5FFC00D6C585A2938AF399F89DD3,City,03/28/2024,AK,02
PALMER ALASKA GOLF COURSELEASE CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=8D4B036EE90105165D0729C7FB1C2431&type=G,8D4B036EE90105165D0729C7FB1C2431,City,03/28/2024,AK,02
PALMER ALASKA HOSP REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=ECD6DA33B63CB2763B806D48AD4FDF68&type=G,ECD6DA33B63CB2763B806D48AD4FDF68,City,03/28/2024,AK,02
PETERSBURG ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=C23436186D8573CB9E76E5EBCE15F91F&type=G,C23436186D8573CB9E76E5EBCE15F91F,City,03/28/2024,AK,02
PETERSBURG ALASKA ELEC WTR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=C66AB76608474B9901EFEE41556B30FC&type=G,C66AB76608474B9901EFEE41556B30FC,City,03/28/2024,AK,02
PORT LIONS ALASKA REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=EFDA4B73CFBE8F87D5C1DAA4EED6CAB1&type=G,EFDA4B73CFBE8F87D5C1DAA4EED6CAB1,City,03/28/2024,AK,02
SEWARD ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=4D966A14D8652F6B4D5458BD5A73C6ED&type=G,4D966A14D8652F6B4D5458BD5A73C6ED,City,03/28/2024,AK,02
SEWARD ALASKA CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=A5A22A51A687E12A8D7000D5FAFCA4F7&type=G,A5A22A51A687E12A8D7000D5FAFCA4F7,City,03/28/2024,AK,02
SEWARD ALASKA ELEC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=B66E6101F26F53EB5CB340F867C19FB2&type=G,B66E6101F26F53EB5CB340F867C19FB2,City,03/28/2024,AK,02
SEWARD ALASKA INDL DEV REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=CFACC9377CD11DBCFDBC67F0DCDD3DCC&type=G,CFACC9377CD11DBCFDBC67F0DCDD3DCC,City,03/28/2024,AK,02
SEWARD ALASKA REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=456BCEEDBE319F971A56F24E1798F63F&type=G,456BCEEDBE319F971A56F24E1798F63F,City,03/28/2024,AK,02
SITKA ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=0534231F31B404B9EFEE7ADD4D68B727&type=G,0534231F31B404B9EFEE7ADD4D68B727,City,03/28/2024,AK,02
SITKA ALASKA MUN UTILS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=F7D6D7A06A5E360162B39164C48B7D81&type=G,F7D6D7A06A5E360162B39164C48B7D81,City,03/28/2024,AK,02
SITKA ALASKA NON-RECOURSE FACS IMPT REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=D5B4C6AD12912E7A2DE73DFD77DCB28D&type=G,D5B4C6AD12912E7A2DE73DFD77DCB28D,City,03/28/2024,AK,02
SKAGWAY ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=F435CD8DADDD2D5271F852CBA331BCD4&type=G,F435CD8DADDD2D5271F852CBA331BCD4,City,03/28/2024,AK,02
SOLDOTNA ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=560B5CD7AC017A2B668E1EA1D41DBF67&type=G,560B5CD7AC017A2B668E1EA1D41DBF67,City,03/28/2024,AK,02
SOLDOTNA ALASKA SPL ASSMT,https://emma.msrb.org/IssuerHomePage/Issuer?id=062A45CE881982B39EFCEB79695E2BAB&type=G,062A45CE881982B39EFCEB79695E2BAB,City,03/28/2024,AK,02
SOUTHEAST ALASKA PWR AGY ELEC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=8D7FD94F5C49934210B06F704328C38A&type=G,8D7FD94F5C49934210B06F704328C38A,City,03/28/2024,AK,02
UNIVERSITY ALASKA CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=ACCC62EA43F1CCA20BBB3DCB3D4D10B5&type=G,ACCC62EA43F1CCA20BBB3DCB3D4D10B5,City,03/28/2024,AK,02
UNIVERSITY ALASKA HEATING CORP REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=89EE9BF576CC9245579B39BF7048D4B1&type=G,89EE9BF576CC9245579B39BF7048D4B1,City,03/28/2024,AK,02
UNIVERSITY ALASKA UNIV REVS,https://emma.msrb.org/IssuerHomePage/Issuer?id=5A5CA11E5581E0AF5C4F8DFAC31A7E5F&type=G,5A5CA11E5581E0AF5C4F8DFAC31A7E5F,City,03/28/2024,AK,02
VALDEZ ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=1AD225F5F2F73BEDC3F233740E29C025&type=G,1AD225F5F2F73BEDC3F233740E29C025,City,03/28/2024,AK,02
VALDEZ ALASKA HOME MTG REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=89FDB6E041F01E9E343422D6812AE5CA&type=G,89FDB6E041F01E9E343422D6812AE5CA,City,03/28/2024,AK,02
VALDEZ ALASKA MARINE TERM REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=6E224E0C2FEED916B7CA81F65838422D&type=G,6E224E0C2FEED916B7CA81F65838422D,City,03/28/2024,AK,02
WRANGELL ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=9A4F22FCFEA71256578B54F80CD1A0EE&type=G,9A4F22FCFEA71256578B54F80CD1A0EE,City,03/28/2024,AK,02
